@relation twit_classification

@attribute 1person numeric
@attribute 2person numeric
@attribute 3person numeric
@attribute coord_conj numeric
@attribute past-tense numeric
@attribute future-tense numeric
@attribute commas numeric
@attribute colons-semicolons numeric
@attribute dashes numeric
@attribute paranthesis numeric
@attribute ellipses numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute adverbs numeric
@attribute wh-words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute average-len-sent numeric
@attribute average-len-tokens numeric
@attribute number-sentences numeric
@attribute emoticons numeric
@attribute multipleexclaimation numeric
@attribute hashtags numeric
@attribute mentions numeric
@attribute numbers numeric
@attribute class {Popstars, News}

@data
0,0,0,0,0,0,1,1,1,0,0,7,3,0,0,0,1,21.0,5.38888888889,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7.0,6.0,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,9.0,6.11111111111,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,6.0,1,0,0,0,0,1,News
1,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,11.0,6.2,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,17.0,5.0625,1,0,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,8.0,5.625,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8.0,4.75,1,0,0,0,0,0,News
0,1,0,0,0,0,0,0,1,0,0,5,2,0,0,1,0,4.33333333333,4.1,3,0,0,0,0,0,News
0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,10.0,6.11111111111,1,0,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8.0,5.625,1,0,0,0,0,0,News
0,0,1,0,0,0,0,0,1,0,0,5,5,2,1,0,1,21.0,5.05263157895,1,0,0,0,0,1,News
0,1,0,0,0,0,1,0,0,0,0,4,4,0,0,1,0,5.33333333333,4.91666666667,3,0,0,0,1,0,News
