@relation twit_classification

@attribute average-len-sent numeric
@attribute 3person numeric
@attribute commas numeric
@attribute uppercase numeric
@attribute hashtags numeric
@attribute adverbs numeric
@attribute emoticons numeric
@attribute coord_conj numeric
@attribute multipleexclaimation numeric
@attribute 2person numeric
@attribute past-tense numeric
@attribute ellipses numeric
@attribute average-len-tokens numeric
@attribute dashes numeric
@attribute colons-semicolons numeric
@attribute number-sentences numeric
@attribute wh-words numeric
@attribute paranthesis numeric
@attribute 1person numeric
@attribute slang numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute mentions numeric
@attribute future-tense numeric
@attribute class {Popstarts, News}

@data
0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,9.0,5.125,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5.0,7.2,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,9.0,4.77777777778,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,9.0,4.55555555556,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,11.0,3.27272727273,1,0,0,0,0,News
0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,1,10.0,4.0,1,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.0,6.83333333333,1,0,0,0,0,News
0,0,0,1,0,0,0,0,0,0,0,5,2,1,0,0,1,8.0,4.64285714286,3,0,0,0,0,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2.33333333333,4.5,3,0,0,2,1,News
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5.0,7.4,1,0,0,0,0,News
0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,9.0,4.55555555556,1,0,0,0,0,News
0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9.0,5.125,1,0,0,0,0,News
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,7.0,5.83333333333,1,0,0,0,0,News
